United States,0
Australia,96
Colombia,160
Norway,106
Japan,12
New Zealand,24
Ukraine,19
Brasil,42
Venezuela,34
Hungary,66
Mexico,82
Portugal,0
Slovenia,111
Israel,56
Malta,45
Uruguay,51
Bolivia,109
Canada,103
Russia,17
Finland,62
Argentina,22
Serbia,40
Bulgaria,70
Slovakia,1
Vietnam,75
France,4
Georgia,15
Germany,103
Paraguay,7
Lithuania,66
Ecuador,87
Thailand,58
Moldova,85
United Kingdom,50
Luxembourg,70
Peru,99
Indonesia,155
South Korea,188
China,73
Belgium,52
Spain,0
Turkey,18
