Australia,0
United Arab Emirates,133
Japan,11
China,137
United States,21
Israel,71
Hungary,25
New Zealand,44
Germany,146
Ecuador,103
Canada,15
South Korea,200
The Netherlands,7
Norway,147
Poland,208
Philippines,151
Ukraine,127
Mexico,44
Belgium,11
Malta,11
Vietnam,49
Colombia,28
Sweden,68
Latvia,120
Venezuela,201
Iceland,72
Austria,50
Paraguay,34
India,6
Croatia,104
United Kingdom,11
Slovenia,58
Thailand,13
Indonesia,0
Italy,10
