Web Search interest: strife online
Worldwide Jan 2009 - Jul 2015

Interest over time
Month,strife online
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,34
2011-10,27
2011-11,27
2011-12,27
2012-01,27
2012-02,29
2012-03,31
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,34
2012-10,22
2012-11,22
2012-12,20
2013-01,20
2013-02,20
2013-03,20
2013-04,21
2013-05,23
2013-06,24
2013-07,25
2013-08,35
2013-09,32
2013-10,36
2013-11,41
2013-12,41
2014-01,44
2014-02,68
2014-03,68
2014-04,63
2014-05,47
2014-06,38
2014-07,43
2014-08,47
2014-09,100
2014-10,72
2014-11,50
2014-12,36
2015-01,29
2015-02,33
2015-03,31
2015-04,34
2015-05,33
2015-06,27
2015-07,22









