Web Search interest: strife
Worldwide Mar-Apr 2011

Interest over time
Day,strife
2011-03-01,84
2011-03-02,76
2011-03-03,71
2011-03-04,55
2011-03-05,92
2011-03-06,67
2011-03-07,61
2011-03-08,69
2011-03-09,66
2011-03-10,63
2011-03-11,50
2011-03-12,65
2011-03-13,65
2011-03-14,65
2011-03-15,85
2011-03-16,76
2011-03-17,65
2011-03-18,63
2011-03-19,86
2011-03-20,77
2011-03-21,64
2011-03-22,65
2011-03-23,55
2011-03-24,99
2011-03-25,69
2011-03-26,73
2011-03-27,84
2011-03-28,78
2011-03-29,83
2011-03-30,73
2011-03-31,80
2011-04-01,70
2011-04-02,63
2011-04-03,83
2011-04-04,60
2011-04-05,67
2011-04-06,81
2011-04-07,54
2011-04-08,64
2011-04-09,81
2011-04-10,100
2011-04-11,75
2011-04-12,73
2011-04-13,94
2011-04-14,80
2011-04-15,57
2011-04-16,81
2011-04-17,97
2011-04-18,95
2011-04-19,80
2011-04-20,67
2011-04-21,73
2011-04-22,93
2011-04-23,81
2011-04-24,84
2011-04-25,76
2011-04-26,67
2011-04-27,61
2011-04-28,76
2011-04-29,66
2011-04-30,63


Top regions for strife
Region,strife
United States,100





Top searches for strife
cloud strife,100






