Web Search interest: strife
Worldwide Sep-Oct 2011

Interest over time
Day,strife
2011-09-01,71
2011-09-02,83
2011-09-03,85
2011-09-04,86
2011-09-05,63
2011-09-06,66
2011-09-07,70
2011-09-08,66
2011-09-09,82
2011-09-10,78
2011-09-11,91
2011-09-12,83
2011-09-13,77
2011-09-14,76
2011-09-15,82
2011-09-16,60
2011-09-17,90
2011-09-18,68
2011-09-19,75
2011-09-20,87
2011-09-21,97
2011-09-22,76
2011-09-23,72
2011-09-24,81
2011-09-25,70
2011-09-26,78
2011-09-27,74
2011-09-28,80
2011-09-29,77
2011-09-30,67
2011-10-01,84
2011-10-02,96
2011-10-03,66
2011-10-04,87
2011-10-05,100
2011-10-06,78
2011-10-07,69
2011-10-08,83
2011-10-09,83
2011-10-10,76
2011-10-11,65
2011-10-12,85
2011-10-13,90
2011-10-14,84
2011-10-15,81
2011-10-16,88
2011-10-17,76
2011-10-18,76
2011-10-19,81
2011-10-20,73
2011-10-21,77
2011-10-22,79
2011-10-23,100
2011-10-24,71
2011-10-25,72
2011-10-26,69
2011-10-27,99
2011-10-28,82
2011-10-29,73
2011-10-30,95
2011-10-31,75


Top regions for strife
Region,strife
United States,100





Top searches for strife
cloud strife,100
strife definition,15



Rising searches for strife
strife definition,+60%



