Web Search interest: strife
Worldwide Jan-Feb 2013

Interest over time
Day,strife
2013-01-01,81
2013-01-02,74
2013-01-03,73
2013-01-04,71
2013-01-05,93
2013-01-06,80
2013-01-07,79
2013-01-08,73
2013-01-09,82
2013-01-10,80
2013-01-11,67
2013-01-12,69
2013-01-13,91
2013-01-14,69
2013-01-15,67
2013-01-16,75
2013-01-17,72
2013-01-18,62
2013-01-19,86
2013-01-20,86
2013-01-21,87
2013-01-22,88
2013-01-23,100
2013-01-24,68
2013-01-25,87
2013-01-26,90
2013-01-27,87
2013-01-28,75
2013-01-29,81
2013-01-30,75
2013-01-31,85
2013-02-01,78
2013-02-02,67
2013-02-03,73
2013-02-04,65
2013-02-05,68
2013-02-06,66
2013-02-07,74
2013-02-08,74
2013-02-09,73
2013-02-10,83
2013-02-11,77
2013-02-12,95
2013-02-13,74
2013-02-14,92
2013-02-15,66
2013-02-16,78
2013-02-17,82
2013-02-18,85
2013-02-19,78
2013-02-20,71
2013-02-21,84
2013-02-22,87
2013-02-23,90
2013-02-24,80
2013-02-25,74
2013-02-26,85
2013-02-27,89
2013-02-28,83


Top regions for strife
Region,strife
United States,100





Top searches for strife
cloud strife,100
strife definition,25
define strife,10






