Web Search interest: strife
Worldwide May-Jun 2009

Interest over time
Day,strife
2009-05-01,0
2009-05-02,79
2009-05-03,66
2009-05-04,71
2009-05-05,70
2009-05-06,48
2009-05-07,50
2009-05-08,53
2009-05-09,100
2009-05-10,70
2009-05-11,64
2009-05-12,74
2009-05-13,62
2009-05-14,65
2009-05-15,69
2009-05-16,73
2009-05-17,77
2009-05-18,53
2009-05-19,53
2009-05-20,53
2009-05-21,65
2009-05-22,65
2009-05-23,50
2009-05-24,50
2009-05-25,50
2009-05-26,50
2009-05-27,64
2009-05-28,55
2009-05-29,51
2009-05-30,77
2009-05-31,68
2009-06-01,68
2009-06-02,49
2009-06-03,49
2009-06-04,60
2009-06-05,65
2009-06-06,70
2009-06-07,74
2009-06-08,52
2009-06-09,47
2009-06-10,48
2009-06-11,60
2009-06-12,57
2009-06-13,82
2009-06-14,73
2009-06-15,56
2009-06-16,50
2009-06-17,56
2009-06-18,63
2009-06-19,62
2009-06-20,63
2009-06-21,65
2009-06-22,45
2009-06-23,59
2009-06-24,59
2009-06-25,55
2009-06-26,58
2009-06-27,53
2009-06-28,53
2009-06-29,53
2009-06-30,53



Top searches for strife
cloud,100
cloud strife,100






