Web Search interest: strife
Worldwide Jul-Aug 2014

Interest over time
Day,strife
2014-07-01,27
2014-07-02,30
2014-07-03,28
2014-07-04,26
2014-07-05,29
2014-07-06,33
2014-07-07,24
2014-07-08,24
2014-07-09,28
2014-07-10,39
2014-07-11,50
2014-07-12,44
2014-07-13,45
2014-07-14,36
2014-07-15,38
2014-07-16,46
2014-07-17,44
2014-07-18,39
2014-07-19,42
2014-07-20,40
2014-07-21,35
2014-07-22,30
2014-07-23,26
2014-07-24,28
2014-07-25,37
2014-07-26,40
2014-07-27,36
2014-07-28,33
2014-07-29,28
2014-07-30,34
2014-07-31,32
2014-08-01,39
2014-08-02,39
2014-08-03,30
2014-08-04,31
2014-08-05,32
2014-08-06,34
2014-08-07,43
2014-08-08,43
2014-08-09,38
2014-08-10,39
2014-08-11,35
2014-08-12,31
2014-08-13,29
2014-08-14,30
2014-08-15,36
2014-08-16,32
2014-08-17,34
2014-08-18,29
2014-08-19,32
2014-08-20,37
2014-08-21,35
2014-08-22,41
2014-08-23,39
2014-08-24,33
2014-08-25,26
2014-08-26,27
2014-08-27,30
2014-08-28,35
2014-08-29,71
2014-08-30,100
2014-08-31,93


Top regions for strife
Region,strife
United States,100





Top searches for strife
cloud strife,100
strife beta,30
strife game,30
strife moba,30
moba,30
strife definition,30
strife meaning,20
strife download,20
strife beta key,20
trivium strife,15



Rising searches for strife
strife game,+40%
strife moba,+40%



