Web Search interest: strife
Worldwide Jan-Feb 2009

Interest over time
Day,strife
2009-01-01,0
2009-01-02,0
2009-01-03,0
2009-01-04,0
2009-01-05,49
2009-01-06,54
2009-01-07,59
2009-01-08,64
2009-01-09,69
2009-01-10,75
2009-01-11,74
2009-01-12,50
2009-01-13,46
2009-01-14,46
2009-01-15,57
2009-01-16,69
2009-01-17,46
2009-01-18,46
2009-01-19,46
2009-01-20,47
2009-01-21,49
2009-01-22,50
2009-01-23,52
2009-01-24,55
2009-01-25,59
2009-01-26,62
2009-01-27,0
2009-01-28,0
2009-01-29,0
2009-01-30,0
2009-01-31,0
2009-02-01,0
2009-02-02,44
2009-02-03,49
2009-02-04,53
2009-02-05,72
2009-02-06,59
2009-02-07,63
2009-02-08,66
2009-02-09,51
2009-02-10,44
2009-02-11,46
2009-02-12,65
2009-02-13,67
2009-02-14,68
2009-02-15,69
2009-02-16,54
2009-02-17,66
2009-02-18,73
2009-02-19,80
2009-02-20,87
2009-02-21,93
2009-02-22,100
2009-02-23,47
2009-02-24,51
2009-02-25,55
2009-02-26,59
2009-02-27,62
2009-02-28,0



Top searches for strife
cloud,100
cloud strife,100






