Web Search interest: strife
Worldwide Nov-Dec 2014

Interest over time
Day,strife
2014-11-01,95
2014-11-02,88
2014-11-03,78
2014-11-04,86
2014-11-05,86
2014-11-06,84
2014-11-07,87
2014-11-08,100
2014-11-09,96
2014-11-10,81
2014-11-11,72
2014-11-12,63
2014-11-13,74
2014-11-14,89
2014-11-15,99
2014-11-16,91
2014-11-17,73
2014-11-18,76
2014-11-19,81
2014-11-20,78
2014-11-21,81
2014-11-22,77
2014-11-23,86
2014-11-24,71
2014-11-25,59
2014-11-26,63
2014-11-27,66
2014-11-28,62
2014-11-29,72
2014-11-30,66
2014-12-01,66
2014-12-02,51
2014-12-03,67
2014-12-04,69
2014-12-05,71
2014-12-06,75
2014-12-07,81
2014-12-08,75
2014-12-09,71
2014-12-10,64
2014-12-11,60
2014-12-12,66
2014-12-13,85
2014-12-14,79
2014-12-15,75
2014-12-16,65
2014-12-17,65
2014-12-18,60
2014-12-19,58
2014-12-20,64
2014-12-21,67
2014-12-22,68
2014-12-23,59
2014-12-24,69
2014-12-25,69
2014-12-26,57
2014-12-27,62
2014-12-28,73
2014-12-29,60
2014-12-30,66
2014-12-31,70


Top regions for strife
Region,strife
United States,100





Top searches for strife
cloud strife,100
strife definition,45
strife download,30
strife meaning,25
strife game,25
define strife,20
infinite crisis,15
slavery and strife,15
strife moba,15



Rising searches for strife
infinite crisis,Breakout
define strife,+100%
cloud strife,+80%
strife definition,+40%
strife meaning,+40%
what is strife,+40%



