Web Search interest: dota 2 heroes
Worldwide Jan-Feb 2014

Interest over time
Day,dota 2 heroes
2014-01-01,73
2014-01-02,66
2014-01-03,71
2014-01-04,81
2014-01-05,71
2014-01-06,59
2014-01-07,57
2014-01-08,61
2014-01-09,54
2014-01-10,74
2014-01-11,69
2014-01-12,77
2014-01-13,55
2014-01-14,52
2014-01-15,52
2014-01-16,53
2014-01-17,52
2014-01-18,80
2014-01-19,84
2014-01-20,71
2014-01-21,63
2014-01-22,53
2014-01-23,57
2014-01-24,53
2014-01-25,73
2014-01-26,67
2014-01-27,61
2014-01-28,100
2014-01-29,95
2014-01-30,90
2014-01-31,76
2014-02-01,80
2014-02-02,73
2014-02-03,59
2014-02-04,60
2014-02-05,67
2014-02-06,61
2014-02-07,60
2014-02-08,75
2014-02-09,72
2014-02-10,61
2014-02-11,52
2014-02-12,58
2014-02-13,43
2014-02-14,52
2014-02-15,71
2014-02-16,61
2014-02-17,53
2014-02-18,59
2014-02-19,51
2014-02-20,56
2014-02-21,65
2014-02-22,53
2014-02-23,77
2014-02-24,52
2014-02-25,69
2014-02-26,39
2014-02-27,46
2014-02-28,53


Top regions for dota 2 heroes
Region,dota 2 heroes
United States,100





Top searches for dota 2 heroes
dota 1 heroes,100
dota 2 wiki,85






