Web Search interest: dota 2 heroes
Worldwide May-Jun 2015

Interest over time
Day,dota 2 heroes
2015-05-01,90
2015-05-02,84
2015-05-03,92
2015-05-04,73
2015-05-05,60
2015-05-06,67
2015-05-07,69
2015-05-08,65
2015-05-09,85
2015-05-10,94
2015-05-11,83
2015-05-12,79
2015-05-13,67
2015-05-14,67
2015-05-15,79
2015-05-16,100
2015-05-17,92
2015-05-18,63
2015-05-19,69
2015-05-20,65
2015-05-21,78
2015-05-22,88
2015-05-23,93
2015-05-24,88
2015-05-25,79
2015-05-26,63
2015-05-27,54
2015-05-28,64
2015-05-29,73
2015-05-30,83
2015-05-31,76
2015-06-01,66
2015-06-02,65
2015-06-03,67
2015-06-04,79
2015-06-05,69
2015-06-06,92
2015-06-07,97
2015-06-08,72
2015-06-09,72
2015-06-10,75
2015-06-11,79
2015-06-12,57
2015-06-13,90
2015-06-14,89
2015-06-15,61
2015-06-16,61
2015-06-17,73
2015-06-18,65
2015-06-19,74
2015-06-20,95
2015-06-21,82
2015-06-22,71
2015-06-23,68
2015-06-24,74
2015-06-25,70
2015-06-26,70
2015-06-27,86
2015-06-28,86
2015-06-29,69
2015-06-30,77




Top cities for dota 2 heroes
Town/City,dota 2 heroes
Quezon City (Philippines),100









