Web Search interest: dota 2 heroes
Worldwide Jul-Aug 2015

Interest over time
Day,dota 2 heroes
2015-07-01,38
2015-07-02,34
2015-07-03,47
2015-07-04,61
2015-07-05,66
2015-07-06,44
2015-07-07,40
2015-07-08,39
2015-07-09,45
2015-07-10,46
2015-07-11,50
2015-07-12,50
2015-07-13,40
2015-07-14,41
2015-07-15,41
2015-07-16,43
2015-07-17,46
2015-07-18,53
2015-07-19,53
2015-07-20,48
2015-07-21,50
2015-07-22,46
2015-07-23,50
2015-07-24,53
2015-07-25,56
2015-07-26,60
2015-07-27,50
2015-07-28,58
2015-07-29,55
2015-07-30,46
2015-07-31,50
2015-08-01,60
2015-08-02,67
2015-08-03,59
2015-08-04,63
2015-08-05,61
2015-08-06,78
2015-08-07,97
2015-08-08,100
2015-08-09,98
2015-08-10,62
2015-08-11,61
2015-08-12,61
2015-08-13,64
2015-08-14,68
2015-08-15,81
2015-08-16,73
2015-08-17,48
2015-08-18,52
2015-08-19,57
2015-08-20,63
2015-08-21,55
2015-08-22,63
2015-08-23,60
2015-08-24,52
2015-08-25,47
2015-08-26,48
2015-08-27,50
2015-08-28,48
2015-08-29,55
2015-08-30,52
2015-08-31,37


Top regions for dota 2 heroes
Region,dota 2 heroes
United States,100


Top cities for dota 2 heroes
Town/City,dota 2 heroes
Quezon City (Philippines),100



Top searches for dota 2 heroes
dota 1 heroes,100






