Web Search interest: dota 2 items
Worldwide Mar-Apr 2015

Interest over time
Day,dota 2 items
2015-03-01,99
2015-03-02,73
2015-03-03,76
2015-03-04,72
2015-03-05,66
2015-03-06,74
2015-03-07,85
2015-03-08,66
2015-03-09,53
2015-03-10,50
2015-03-11,46
2015-03-12,59
2015-03-13,69
2015-03-14,69
2015-03-15,73
2015-03-16,52
2015-03-17,67
2015-03-18,52
2015-03-19,49
2015-03-20,59
2015-03-21,72
2015-03-22,53
2015-03-23,56
2015-03-24,59
2015-03-25,69
2015-03-26,52
2015-03-27,49
2015-03-28,67
2015-03-29,66
2015-03-30,54
2015-03-31,53
2015-04-01,52
2015-04-02,55
2015-04-03,70
2015-04-04,71
2015-04-05,75
2015-04-06,63
2015-04-07,60
2015-04-08,68
2015-04-09,67
2015-04-10,45
2015-04-11,61
2015-04-12,52
2015-04-13,57
2015-04-14,54
2015-04-15,47
2015-04-16,47
2015-04-17,47
2015-04-18,75
2015-04-19,52
2015-04-20,47
2015-04-21,40
2015-04-22,54
2015-04-23,48
2015-04-24,54
2015-04-25,69
2015-04-26,61
2015-04-27,53
2015-04-28,100
2015-04-29,80
2015-04-30,86









