Web Search interest: dota 2 lounge
Worldwide Mar-Apr 2014

Interest over time
Day,dota 2 lounge
2014-03-01,77
2014-03-02,86
2014-03-03,78
2014-03-04,76
2014-03-05,60
2014-03-06,61
2014-03-07,66
2014-03-08,82
2014-03-09,80
2014-03-10,57
2014-03-11,54
2014-03-12,61
2014-03-13,58
2014-03-14,66
2014-03-15,79
2014-03-16,68
2014-03-17,52
2014-03-18,53
2014-03-19,73
2014-03-20,86
2014-03-21,68
2014-03-22,81
2014-03-23,90
2014-03-24,62
2014-03-25,66
2014-03-26,53
2014-03-27,60
2014-03-28,82
2014-03-29,87
2014-03-30,66
2014-03-31,65
2014-04-01,63
2014-04-02,61
2014-04-03,75
2014-04-04,63
2014-04-05,79
2014-04-06,69
2014-04-07,65
2014-04-08,60
2014-04-09,65
2014-04-10,64
2014-04-11,61
2014-04-12,76
2014-04-13,71
2014-04-14,67
2014-04-15,70
2014-04-16,71
2014-04-17,81
2014-04-18,87
2014-04-19,100
2014-04-20,92
2014-04-21,64
2014-04-22,58
2014-04-23,55
2014-04-24,47
2014-04-25,59
2014-04-26,66
2014-04-27,67
2014-04-28,50
2014-04-29,56
2014-04-30,66




Top cities for dota 2 lounge
Town/City,dota 2 lounge
Kuala Lumpur (Malaysia),100
Jakarta (Indonesia),28



Top searches for dota 2 lounge
dota 2 trade,100
dota trade,95
dota2lounge,65






