Web Search interest: dota 2 lounge
Worldwide May-Jun 2014

Interest over time
Day,dota 2 lounge
2014-05-01,43
2014-05-02,43
2014-05-03,49
2014-05-04,49
2014-05-05,39
2014-05-06,33
2014-05-07,30
2014-05-08,32
2014-05-09,42
2014-05-10,47
2014-05-11,46
2014-05-12,41
2014-05-13,39
2014-05-14,41
2014-05-15,38
2014-05-16,50
2014-05-17,52
2014-05-18,52
2014-05-19,41
2014-05-20,39
2014-05-21,41
2014-05-22,44
2014-05-23,42
2014-05-24,68
2014-05-25,63
2014-05-26,51
2014-05-27,55
2014-05-28,50
2014-05-29,56
2014-05-30,49
2014-05-31,100
2014-06-01,85
2014-06-02,56
2014-06-03,50
2014-06-04,61
2014-06-05,61
2014-06-06,74
2014-06-07,94
2014-06-08,83
2014-06-09,64
2014-06-10,62
2014-06-11,56
2014-06-12,54
2014-06-13,64
2014-06-14,65
2014-06-15,79
2014-06-16,67
2014-06-17,54
2014-06-18,58
2014-06-19,79
2014-06-20,77
2014-06-21,77
2014-06-22,84
2014-06-23,66
2014-06-24,60
2014-06-25,67
2014-06-26,55
2014-06-27,65
2014-06-28,86
2014-06-29,94
2014-06-30,51


Top regions for dota 2 lounge
Region,dota 2 lounge
Philippines,100
Indonesia,38


Top cities for dota 2 lounge
Town/City,dota 2 lounge
Cebu City (Philippines),100
Quezon City (Philippines),60
Manila (Philippines),55
Kuala Lumpur (Malaysia),24
Jakarta (Indonesia),9



Top searches for dota 2 lounge
dota 2 trade,100
dota trade,100
dota2lounge,75
dota 2 market,60



Rising searches for dota 2 lounge
dota 2 market,+60%



