Web Search interest: dota 2 reborn beta
Worldwide May-Jun 2015

Interest over time
Day,dota 2 reborn beta
2015-05-01,0
2015-05-02,0
2015-05-03,0
2015-05-04,0
2015-05-05,0
2015-05-06,0
2015-05-07,0
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,0
2015-05-14,0
2015-05-15,0
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,0
2015-06-02,0
2015-06-03,0
2015-06-04,0
2015-06-05,0
2015-06-06,0
2015-06-07,0
2015-06-08,0
2015-06-09,0
2015-06-10,0
2015-06-11,0
2015-06-12,0
2015-06-13,15
2015-06-14,11
2015-06-15,11
2015-06-16,11
2015-06-17,11
2015-06-18,100
2015-06-19,55
2015-06-20,31
2015-06-21,21
2015-06-22,13
2015-06-23,12
2015-06-24,11
2015-06-25,8
2015-06-26,10
2015-06-27,12
2015-06-28,0
2015-06-29,0
2015-06-30,0









