Web Search interest: dota 2 update
Worldwide Sep-Oct 2014

Interest over time
Day,dota 2 update
2014-09-01,15
2014-09-02,12
2014-09-03,11
2014-09-04,39
2014-09-05,37
2014-09-06,18
2014-09-07,0
2014-09-08,0
2014-09-09,0
2014-09-10,0
2014-09-11,0
2014-09-12,14
2014-09-13,10
2014-09-14,10
2014-09-15,10
2014-09-16,27
2014-09-17,0
2014-09-18,0
2014-09-19,0
2014-09-20,0
2014-09-21,0
2014-09-22,0
2014-09-23,22
2014-09-24,100
2014-09-25,63
2014-09-26,100
2014-09-27,49
2014-09-28,25
2014-09-29,14
2014-09-30,10
2014-10-01,9
2014-10-02,10
2014-10-03,12
2014-10-04,9
2014-10-05,13
2014-10-06,12
2014-10-07,12
2014-10-08,12
2014-10-09,12
2014-10-10,8
2014-10-11,8
2014-10-12,8
2014-10-13,8
2014-10-14,9
2014-10-15,10
2014-10-16,0
2014-10-17,0
2014-10-18,0
2014-10-19,0
2014-10-20,0
2014-10-21,0
2014-10-22,0
2014-10-23,0
2014-10-24,0
2014-10-25,0
2014-10-26,0
2014-10-27,8
2014-10-28,10
2014-10-29,13
2014-10-30,16
2014-10-31,18









