Web Search interest: dota 2 update
Worldwide Nov-Dec 2014

Interest over time
Day,dota 2 update
2014-11-01,28
2014-11-02,17
2014-11-03,14
2014-11-04,14
2014-11-05,16
2014-11-06,16
2014-11-07,16
2014-11-08,0
2014-11-09,0
2014-11-10,0
2014-11-11,0
2014-11-12,0
2014-11-13,0
2014-11-14,21
2014-11-15,26
2014-11-16,16
2014-11-17,23
2014-11-18,29
2014-11-19,36
2014-11-20,28
2014-11-21,48
2014-11-22,22
2014-11-23,15
2014-11-24,16
2014-11-25,16
2014-11-26,15
2014-11-27,15
2014-11-28,0
2014-11-29,0
2014-11-30,0
2014-12-01,0
2014-12-02,0
2014-12-03,14
2014-12-04,16
2014-12-05,18
2014-12-06,13
2014-12-07,13
2014-12-08,13
2014-12-09,13
2014-12-10,0
2014-12-11,0
2014-12-12,0
2014-12-13,0
2014-12-14,0
2014-12-15,0
2014-12-16,72
2014-12-17,61
2014-12-18,100
2014-12-19,34
2014-12-20,34
2014-12-21,21
2014-12-22,17
2014-12-23,16
2014-12-24,19
2014-12-25,0
2014-12-26,0
2014-12-27,0
2014-12-28,0
2014-12-29,0
2014-12-30,0
2014-12-31,16









