Web Search interest: dota 2 update
Worldwide May-Jun 2015

Interest over time
Day,dota 2 update
2015-05-01,100
2015-05-02,49
2015-05-03,30
2015-05-04,15
2015-05-05,20
2015-05-06,14
2015-05-07,11
2015-05-08,15
2015-05-09,13
2015-05-10,12
2015-05-11,11
2015-05-12,9
2015-05-13,10
2015-05-14,12
2015-05-15,13
2015-05-16,11
2015-05-17,11
2015-05-18,11
2015-05-19,11
2015-05-20,12
2015-05-21,12
2015-05-22,13
2015-05-23,14
2015-05-24,0
2015-05-25,0
2015-05-26,0
2015-05-27,0
2015-05-28,0
2015-05-29,11
2015-05-30,0
2015-05-31,0
2015-06-01,0
2015-06-02,0
2015-06-03,0
2015-06-04,0
2015-06-05,22
2015-06-06,10
2015-06-07,10
2015-06-08,10
2015-06-09,10
2015-06-10,10
2015-06-11,12
2015-06-12,15
2015-06-13,17
2015-06-14,11
2015-06-15,11
2015-06-16,11
2015-06-17,11
2015-06-18,24
2015-06-19,49
2015-06-20,21
2015-06-21,10
2015-06-22,10
2015-06-23,10
2015-06-24,14
2015-06-25,18
2015-06-26,14
2015-06-27,14
2015-06-28,0
2015-06-29,0
2015-06-30,0



Top searches for dota 2 update
dota 2 reborn,100



Rising searches for dota 2 update
dota 2 reborn,Breakout



